"author","date","identifier","language","og_url","pdf_download_link","pdf_link","publisher","title","keywords","subjects"
"Tanja van Mourik and Michael Bühl and Marie-Pierre Gaigeot","2014-3-13","10.1098/rsta.2012.0488","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2012.0488","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0488?download=true","/doi/epdf/10.1098/rsta.2012.0488","The Royal Society Publishing","Density functional theory across chemistry, physics and biology","density functional theory,excited states,solid state,liquid state,NMR,EPR","density functional theory,excited states,solid state,liquid state,NMR,EPR,computational chemistry"
"Philip J. Hasnip and Keith Refson and Matt I. J. Probert and Jonathan R. Yates and Stewart J. Clark and Chris J. Pickard","2014-3-13","10.1098/rsta.2013.0270","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0270","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0270?download=true","/doi/epdf/10.1098/rsta.2013.0270","The Royal Society Publishing","Density functional theory in the solid state","density functional theory,condensed matter theory,computational materials science,electronic structure theory,computational chemistry","density functional theory,condensed matter theory,computational materials science,electronic structure theory,computational chemistry,chemical physics,computational chemistry,materials science,solid-state physics"
"E. Charbon","2014-3-28","10.1098/rsta.2013.0100","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0100","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0100?download=true","/doi/epdf/10.1098/rsta.2013.0100","The Royal Society Publishing","Single-photon imaging in complementary metal oxide semiconductor processes","single-photon avalanche diode,avalanche photodiode,complementary metal oxide semiconductor","single-photon avalanche diode,avalanche photodiode,complementary metal oxide semiconductor,biophysics,image processing,photochemistry"
"Giovanna Tinetti","2014-4-28","10.1098/rsta.2013.0077","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0077","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0077?download=true","/doi/epdf/10.1098/rsta.2013.0077","The Royal Society Publishing","Galactic planetary science","exoplanets,atmospheric models,space missions","exoplanets,atmospheric models,space missions,extrasolar planets"
"Reiner Jedermann and Mike Nicometo and Ismail Uysal and Walter Lang","2014-6-13","10.1098/rsta.2013.0302","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0302","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0302?download=true","/doi/epdf/10.1098/rsta.2013.0302","The Royal Society Publishing","Reducing food losses by intelligent food logistics","first-expired-first-out,food losses,food chain management,intelligent container,cold chain","first-expired-first-out,food losses,food chain management,intelligent container,cold chain,biochemistry,electrical engineering"
"S. Janssen and I. Pankoke and K. Klus and K. Schmitt and U. Stephan and J. Wöllenstein","2014-6-13","10.1098/rsta.2013.0312","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0312","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0312?download=true","/doi/epdf/10.1098/rsta.2013.0312","The Royal Society Publishing","Two underestimated threats in food transportation mould and acceleration","mould sensor,fungus detection,acceleration,turbidity,beer logistic,shelf life modelling","mould sensor,fungus detection,acceleration,turbidity,beer logistic,shelf life modelling,chemical biology,chemical engineering,environmental engineering,materials science,microsystems,physical chemistry"
"Antje Weisheimer and Susanna Corti and Tim Palmer and Frederic Vitart","2014-6-28","10.1098/rsta.2013.0290","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0290","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0290?download=true","/doi/epdf/10.1098/rsta.2013.0290","The Royal Society Publishing","Addressing model error through atmospheric stochastic physical parametrizations impact on the coupled ECMWF seasonal forecasting system","atmospheric science,meteorology,complexity","atmospheric science,meteorology,complexity,atmospheric science,climatology,geophysics,meteorology"
"Stephan Juricke and Thomas Jung","2014-6-28","10.1098/rsta.2013.0283","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0283","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0283?download=true","/doi/epdf/10.1098/rsta.2013.0283","The Royal Society Publishing","Influence of stochastic sea ice parametrization on climate and the role of atmosphere–sea ice–ocean interaction","stochastic parametrizations,sea ice models,sea ice strength,model uncertainty,atmospheric feedbacks","stochastic parametrizations,sea ice models,sea ice strength,model uncertainty,atmospheric feedbacks,oceanography"
"Vijay S. Mahadevan and Elia Merzari and Timothy Tautges and Rajeev Jain and Aleksandr Obabko and Michael Smith and Paul Fischer","2014-8-6","10.1098/rsta.2013.0381","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0381","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0381?download=true","/doi/epdf/10.1098/rsta.2013.0381","The Royal Society Publishing","High-resolution coupled physics solvers for analysing fine-scale nuclear reactor design problems","multi-physics,reactor analysis,code coupling","multi-physics,reactor analysis,code coupling,computational physics,computer modelling and simulation,differential equations,software"
"Itta Ohmura and Gentaro Morimoto and Yousuke Ohno and Aki Hasegawa and Makoto Taiji","2014-8-6","10.1098/rsta.2013.0387","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0387","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0387?download=true","/doi/epdf/10.1098/rsta.2013.0387","The Royal Society Publishing","MDGRAPE-4 a special-purpose computer system for molecular dynamics simulations","molecular dynamics simulation,high performance computing,multiscale simulation,scalable parallel system,hardware accelerator","molecular dynamics simulation,high performance computing,multiscale simulation,scalable parallel system,hardware accelerator,computational biology,computational chemistry,computer modelling and simulation,e-science,electrical engineering"
"J. Borgdorff and M. Ben Belgacem and C. Bona-Casas and L. Fazendeiro and D. Groen and O. Hoenen and A. Mizeranschi and J. L. Suter and D. Coster and P. V. Coveney and W. Dubitzky and A. G. Hoekstra and P. Strand and B. Chopard","2014-8-6","10.1098/rsta.2013.0407","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0407","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0407?download=true","/doi/epdf/10.1098/rsta.2013.0407","The Royal Society Publishing","Performance of distributed multiscale simulations","distributed multiscale computing,performance,multiscale simulation","distributed multiscale computing,performance,multiscale simulation,computer modelling and simulation"
"Clare F. Postlethwaite and Anna E. Hickman and Abigail McQuatters-Gollop and Harry Bryden and Philip Woodworth","2014-9-28","10.1098/rsta.2013.0341","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0341","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0341?download=true","/doi/epdf/10.1098/rsta.2013.0341","The Royal Society Publishing","A prospectus for UK marine sustained observations","marine science,sustained observations,long-term observations,ocean,monitoring,time series","marine science,sustained observations,long-term observations,ocean,monitoring,time series,biogeochemistry,climatology,oceanography"
"Linda T. Elkins-Tanton and David Bercovici","2014-9-13","10.1098/rsta.2013.0240","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0240","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0240?download=true","/doi/epdf/10.1098/rsta.2013.0240","The Royal Society Publishing","Contraction or expansion of the Moon's crust during magma ocean freezing","lunar crust,magma ocean,lithospheric deformation","lunar crust,magma ocean,lithospheric deformation,solar system"
"S. Schlamminger and R. E. Pixley and F. Nolting and J. Schurr and U. Straumann","2014-10-13","10.1098/rsta.2014.0027","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0027","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0027?download=true","/doi/epdf/10.1098/rsta.2014.0027","The Royal Society Publishing","Reflections on a measurement of the gravitational constant using a beam balance and 13 tons of mercury","gravitational constant,mass comparator,mercury","gravitational constant,mass comparator,mercury,mechanics"
"Terry Quinn and Clive Speake","2014-10-13","10.1098/rsta.2014.0253","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0253","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0253?download=true","/doi/epdf/10.1098/rsta.2014.0253","The Royal Society Publishing","The Newtonian constant of gravitation—a constant too difficult to measure An introduction","gravity,experimental gravitational physics,metrology","gravity,experimental gravitational physics,metrology,astrophysics,mechanics"
"Nick J. Dunstone","2014-9-28","10.1098/rsta.2013.0340","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0340","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0340?download=true","/doi/epdf/10.1098/rsta.2013.0340","The Royal Society Publishing","A perspective on sustained marine observations for climate modelling and prediction","climate modelling,oceanography,strategy","climate modelling,oceanography,strategy,climatology,meteorology,oceanography"
"James E. Faller","2014-10-13","10.1098/rsta.2014.0023","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0023","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0023?download=true","/doi/epdf/10.1098/rsta.2014.0023","The Royal Society Publishing","Precision measurement, scientific personalities and error budgets the sine quibus non for big G determinations","Newtonian constant,big G,precision measurement,scientific personalities,errors,systematic errors","Newtonian constant,big G,precision measurement,scientific personalities,errors,systematic errors,mechanics"
"Terry Quinn","2014-10-13","10.1098/rsta.2014.0286","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0286","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0286?download=true","/doi/epdf/10.1098/rsta.2014.0286","The Royal Society Publishing","Outcome of the Royal Society meeting on G held at Chicheley Hall on 27 and 28 February 2014 to discuss ‘The Newtonian constant of gravitation, a constant too difficult to measure’","gravitational constant,gravity,experimental gravitational physics,metrology","gravitational constant,gravity,experimental gravitational physics,metrology,mechanics"
"Barry M. Wood","2014-10-13","10.1098/rsta.2014.0029","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0029","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0029?download=true","/doi/epdf/10.1098/rsta.2014.0029","The Royal Society Publishing","Recommending a value for the Newtonian gravitational constant","fundamental constants,Newtonian gravitational constant,least-squares adjustment","fundamental constants,Newtonian gravitational constant,least-squares adjustment,atomic and molecular physics"
"R. Barboza and U. Bortolozzo and M. G. Clerc and S. Residori and E. Vidal-Henriquez","2014-10-28","10.1098/rsta.2014.0019","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0019","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0019?download=true","/doi/epdf/10.1098/rsta.2014.0019","The Royal Society Publishing","Light–matter interaction induces a single positive vortex with swirling arms","phase singularities,localized structures,optical vortexes","phase singularities,localized structures,optical vortexes,complexity,mathematical physics,optics"
"C. Fernandez-Oto and M. Tlidi and D. Escaff and M. G. Clerc","2014-10-28","10.1098/rsta.2014.0009","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0009","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0009?download=true","/doi/epdf/10.1098/rsta.2014.0009","The Royal Society Publishing","Strong interaction between plants induces circular barren patches fairy circles","fairy circles,localized structures,population dynamics","fairy circles,localized structures,population dynamics,biophysics,complexity,mathematical modelling"
"L. Pareschi and G. Toscani","2014-11-13","10.1098/rsta.2013.0396","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0396","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0396?download=true","/doi/epdf/10.1098/rsta.2013.0396","The Royal Society Publishing","Wealth distribution and collective knowledge a Boltzmann approach","multi-agent systems,Boltzmann equation,wealth distribution,collective knowledge","multi-agent systems,Boltzmann equation,wealth distribution,collective knowledge,applied mathematics,differential equations,mathematical physics,statistical physics"
"Epifanio G. Virga","2014-11-28","10.1098/rsta.2013.0360","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0360","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0360?download=true","/doi/epdf/10.1098/rsta.2013.0360","The Royal Society Publishing","Dissipative shocks behind bacteria gliding","gliding bacteria,dissipative shocks,one-dimensional continua","gliding bacteria,dissipative shocks,one-dimensional continua,applied mathematics,biomathematics,mathematical physics,mechanics"
"E. E. Herrera-Valencia and Alejandro D. Rey","2014-11-28","10.1098/rsta.2013.0369","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0369","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0369?download=true","/doi/epdf/10.1098/rsta.2013.0369","The Royal Society Publishing","Actuation of flexoelectric membranes in viscoelastic fluids with applications to outer hair cells","flexoelectric membrane actuation,flexoelectric-driven viscoelastic capillary flow,rheological transfer function in outer hair cells","flexoelectric membrane actuation,flexoelectric-driven viscoelastic capillary flow,rheological transfer function in outer hair cells,biomechanics,biophysics,chemical engineering,fluid mechanics,materials science,mechanics"
"Gil Henkin and Stephen J. DeCamp and Daniel T. N. Chen and Tim Sanchez and Zvonimir Dogic","2014-11-28","10.1098/rsta.2014.0142","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0142","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0142?download=true","/doi/epdf/10.1098/rsta.2014.0142","The Royal Society Publishing","Tunable dynamics of microtubule-based active isotropic gels","active matter,gels,bundled microtubules,molecular motors,spontaneous flow","active matter,gels,bundled microtubules,molecular motors,spontaneous flow,biophysics,fluid mechanics,light microscopy,mechanics"
"Janice L. Bishop and Peter A. J. Englert and Shital Patel and Daniela Tirsch and Alex J. Roy and Christian Koeberl and Ute Böttger and Franziska Hanke and Ralf Jaumann","2014-12-13","10.1098/rsta.2014.0198","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0198","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0198?download=true","/doi/epdf/10.1098/rsta.2014.0198","The Royal Society Publishing","Mineralogical analyses of surface sediments in the Antarctic Dry Valleys coordinated analyses of Raman spectra, reflectance spectra and elemental abundances","Antarctic Dry Valleys,sediments,Raman spectra,reflectance spectra,chemistry","Antarctic Dry Valleys,sediments,Raman spectra,reflectance spectra,chemistry,astrobiology,biogeochemistry,geochemistry,geology,solar system"
"John Ellis","2015-1-13","10.1098/rsta.2014.0049","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0049","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0049?download=true","/doi/epdf/10.1098/rsta.2014.0049","The Royal Society Publishing","Before, behind and beyond the discovery of the Higgs boson","","high-energy physics,particle physics"
"G. Colicchio and M. Greco and M. Brocchini and O. M. Faltinsen","2015-1-28","10.1098/rsta.2014.0103","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0103","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0103?download=true","/doi/epdf/10.1098/rsta.2014.0103","The Royal Society Publishing","Hydroelastic behaviour of a structure exposed to an underwater explosion","underwater explosion,compressible two-phase flow,hydroelastic fluid–structure coupling,domain decomposition","underwater explosion,compressible two-phase flow,hydroelastic fluid–structure coupling,domain decomposition,computational mechanics,computer modelling and simulation,mathematical modelling,mechanical engineering,ocean engineering"
"P. Blondeaux and E. Foti and G. Vittori","2015-1-28","10.1098/rsta.2014.0112","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0112","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0112?download=true","/doi/epdf/10.1098/rsta.2014.0112","The Royal Society Publishing","A theoretical model of asymmetric wave ripples","coastal bedforms,sediment transport,sedimentary structures","coastal bedforms,sediment transport,sedimentary structures,ocean engineering"
"J. R. Grice and P. H. Taylor and R. Eatock Taylor","2015-1-28","10.1098/rsta.2014.0113","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0113","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0113?download=true","/doi/epdf/10.1098/rsta.2014.0113","The Royal Society Publishing","Second-order statistics and ‘designer’ waves for violent free-surface motion around multi-column structures","diffraction,hydrodynamics,designer wave,second order","diffraction,hydrodynamics,designer wave,second order,fluid mechanics,ocean engineering"
"M. Greco and C. Lugni and O. M. Faltinsen","2015-1-28","10.1098/rsta.2014.0110","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0110","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0110?download=true","/doi/epdf/10.1098/rsta.2014.0110","The Royal Society Publishing","Influence of motion coupling and nonlinear effects on parametric roll for a floating production storage and offloading platform","parametric roll,motion coupling,three-dimensional domain-decomposition,stability analysis","parametric roll,motion coupling,three-dimensional domain-decomposition,stability analysis,fluid mechanics,mechanical engineering,ocean engineering"
"Klaus Lehnertz and Henning Dickten","2015-2-13","10.1098/rsta.2014.0094","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0094","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0094?download=true","/doi/epdf/10.1098/rsta.2014.0094","The Royal Society Publishing","Assessing directionality and strength of coupling through symbolic analysis an application to epilepsy patients","symbolic transfer entropy,epileptic network,epilepsy,EEG","symbolic transfer entropy,epileptic network,epilepsy,EEG,chaos theory,statistical physics"
"Alberto Porta and Andrea Marchi and Vlasta Bari and Karsten Heusser and Jens Tank and Jens Jordan and Franca Barbic and Raffaello Furlan","2015-2-13","10.1098/rsta.2014.0096","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0096","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0096?download=true","/doi/epdf/10.1098/rsta.2014.0096","The Royal Society Publishing","Conditional symbolic analysis detects nonlinear influences of respiration on cardiovascular control in humans","heart rate variability,muscle sympathetic nerve activity,baroreflex,head-up tilt,postural syncope,autonomic nervous system","heart rate variability,muscle sympathetic nerve activity,baroreflex,head-up tilt,postural syncope,autonomic nervous system,biomedical engineering,biophysics,complexity,mathematical physics,medical computing,medical physics"
"Steffen Schulz and Jens Haueisen and Karl-Jürgen Bär and Voss Andreas","2015-2-13","10.1098/rsta.2014.0098","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0098","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0098?download=true","/doi/epdf/10.1098/rsta.2014.0098","The Royal Society Publishing","High-resolution joint symbolic analysis to enhance classification of the cardiorespiratory system in patients with schizophrenia and their relatives","joint symbolic dynamics,cardiorespiratory coupling,autonomic nervous system,respiration,heart rate variability,schizophrenia","joint symbolic dynamics,cardiorespiratory coupling,autonomic nervous system,respiration,heart rate variability,schizophrenia,biomedical engineering,medical computing,pattern recognition"
"C. S. Daw and C. E. A. Finney and B. C. Kaul and K. D. Edwards and R. M. Wagner","2015-2-13","10.1098/rsta.2014.0088","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0088","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0088?download=true","/doi/epdf/10.1098/rsta.2014.0088","The Royal Society Publishing","Characterizing dilute combustion instabilities in a multi-cylinder spark-ignited engine using symbolic analysis","engine,combustion,symbolic analysis,time series","engine,combustion,symbolic analysis,time series,chemical engineering,mechanical engineering"
"B. F. Xu and T. G. Wang and Y. Yuan and J. F. Cao","2015-2-28","10.1098/rsta.2014.0080","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0080","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0080?download=true","/doi/epdf/10.1098/rsta.2014.0080","The Royal Society Publishing","Unsteady aerodynamic analysis for offshore floating wind turbines under different wind conditions","offshore floating wind turbine,free-vortex wake,time-marching algorithm,unsteady aerodynamics","offshore floating wind turbine,free-vortex wake,time-marching algorithm,unsteady aerodynamics,computational mechanics,energy"
"I. Antoniadou and N. Dervilis and E. Papatheou and A. E. Maguire and K. Worden","2015-2-28","10.1098/rsta.2014.0075","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0075","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0075?download=true","/doi/epdf/10.1098/rsta.2014.0075","The Royal Society Publishing","Aspects of structural health and condition monitoring of offshore wind turbines","structural health monitoring,condition monitoring,offshore wind turbines,data analysis","structural health monitoring,condition monitoring,offshore wind turbines,data analysis,mechanical engineering"
"J. D. Tippmann and X. Zhu and F. Lanza di Scalea","2015-2-28","10.1098/rsta.2014.0070","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0070","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0070?download=true","/doi/epdf/10.1098/rsta.2014.0070","The Royal Society Publishing","Application of damage detection methods using passive reconstruction of impulse response functions","damage detection,ambient noise,passive sensors,reciprocity,beamforming","damage detection,ambient noise,passive sensors,reciprocity,beamforming,statistics,structural engineering"
"David Rugg","2015-3-6","10.1098/rsta.2013.0160","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2013.0160","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2013.0160?download=true","/doi/epdf/10.1098/rsta.2013.0160","The Royal Society Publishing","Synchrotron use for materials science and engineering—the next decade","synchrotron","synchrotron,materials science"
"Peter P. Edwards and Bernt Krebs and Nicholas J. Long and Paul R. Raithby","2015-3-13","10.1098/rsta.2014.0475","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0475","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0475?download=true","/doi/epdf/10.1098/rsta.2014.0475","The Royal Society Publishing","Dedication to Lord Lewis the new chemistry of the elements","","inorganic chemistry"
"Claudio Ampelli and Siglinda Perathoner and Gabriele Centi","2015-3-13","10.1098/rsta.2014.0177","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0177","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0177?download=true","/doi/epdf/10.1098/rsta.2014.0177","The Royal Society Publishing","CO2 utilization an enabling element to move to a resource- and energy-efficient chemical and fuel production","CO2 utilization,sustainable chemical production,resource and energy efficiency,chemical industry future","CO2 utilization,sustainable chemical production,resource and energy efficiency,chemical industry future,chemical engineering,environmental chemistry,environmental engineering,green chemistry"
"Sebastian D. Pike and Andrew S. Weller","2015-3-13","10.1098/rsta.2014.0187","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0187","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0187?download=true","/doi/epdf/10.1098/rsta.2014.0187","The Royal Society Publishing","Organometallic synthesis, reactivity and catalysis in the solid state using well-defined single-site species","solid state,organometallic,reactivity,catalysis","solid state,organometallic,reactivity,catalysis,organometallic chemistry"
"A. Hohenwarter and R. Pippan","2015-3-28","10.1098/rsta.2014.0366","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0366","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0366?download=true","/doi/epdf/10.1098/rsta.2014.0366","The Royal Society Publishing","Fracture and fracture toughness of nanopolycrystalline metals produced by severe plastic deformation","severe plastic deformation,high-pressure torsion,nanocrystalline,ultrafine-grained,fracture toughness,anisotropy","severe plastic deformation,high-pressure torsion,nanocrystalline,ultrafine-grained,fracture toughness,anisotropy,materials science,mechanical engineering"
"Ezgi D. Yilmaz and Gerold A. Schneider and Michael V. Swain","2015-3-28","10.1098/rsta.2014.0130","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0130","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0130?download=true","/doi/epdf/10.1098/rsta.2014.0130","The Royal Society Publishing","Influence of structural hierarchy on the fracture behaviour of tooth enamel","enamel,hydroxyapatite,hierarchy,fracture toughness,R-curve,bending strength","enamel,hydroxyapatite,hierarchy,fracture toughness,R-curve,bending strength,materials science"
"John G. McEvoy","2015-4-13","10.1098/rsta.2014.0229","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0229","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0229?download=true","/doi/epdf/10.1098/rsta.2014.0229","The Royal Society Publishing","Gases, God and the balance of nature a commentary on Priestley (1772) ‘Observations on different kinds of air’","air(s),phlogiston,pneumatic chemistry,aerial philosopher","air(s),phlogiston,pneumatic chemistry,aerial philosopher,atmospheric chemistry,physical chemistry"
"Brian E. Launder","2015-4-13","10.1098/rsta.2014.0231","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0231","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0231?download=true","/doi/epdf/10.1098/rsta.2014.0231","The Royal Society Publishing","First steps in modelling turbulence and its origins a commentary on Reynolds (1895) ‘On the dynamical theory of incompressible viscous fluids and the determination of the criterion’","turbulent flow,laminar-turbulent transition,Reynolds averaging,computational fluid dynamics","turbulent flow,laminar-turbulent transition,Reynolds averaging,computational fluid dynamics,fluid mechanics"
"M. J. C. Gordon","2015-4-13","10.1098/rsta.2014.0234","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0234","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0234?download=true","/doi/epdf/10.1098/rsta.2014.0234","The Royal Society Publishing","Tactics for mechanized reasoning a commentary on Milner (1984) ‘The use of machines to assist in rigorous proof’","theorem proving,formal verification,functional programing,types","theorem proving,formal verification,functional programing,types,algorithmic information theory"
"John F. Dewey","2015-4-13","10.1098/rsta.2014.0227","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0227","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0227?download=true","/doi/epdf/10.1098/rsta.2014.0227","The Royal Society Publishing","A harbinger of plate tectonics a commentary on Bullard, Everett and Smith (1965) ‘The fit of the continents around the Atlantic’","continental drift,continental fitting,plate tectonics","continental drift,continental fitting,plate tectonics,geology,plate tectonics"
"D. P. Woodruff","2015-4-13","10.1098/rsta.2014.0230","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0230","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0230?download=true","/doi/epdf/10.1098/rsta.2014.0230","The Royal Society Publishing","How does your crystal grow A commentary on Burton, Cabrera and Frank (1951) ‘The growth of crystals and the equilibrium structure of their surfaces’","crystal growth,screw dislocations,two-dimensional nucleation,surface roughening,equilibrium crystal shape,surface steps","crystal growth,screw dislocations,two-dimensional nucleation,surface roughening,equilibrium crystal shape,surface steps,chemical physics,solid-state physics"
"Khurom H. Kiyani and Kareem T. Osman and Sandra C. Chapman","2015-5-13","10.1098/rsta.2014.0155","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0155","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0155?download=true","/doi/epdf/10.1098/rsta.2014.0155","The Royal Society Publishing","Dissipation and heating in solar wind turbulence from the macro to the micro and back again","solar wind,turbulence,magnetohydrodynamics,collisionless plasmas","solar wind,turbulence,magnetohydrodynamics,collisionless plasmas,astrophysics,geophysics,plasma physics,solar system"
"M. L. Goldstein and R. T. Wicks and S. Perri and F. Sahraoui","2015-5-13","10.1098/rsta.2014.0147","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0147","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0147?download=true","/doi/epdf/10.1098/rsta.2014.0147","The Royal Society Publishing","Kinetic scale turbulence and dissipation in the solar wind key observational results and future outlook","solar wind,turbulence,plasma heating,turbulent dissipation","solar wind,turbulence,plasma heating,turbulent dissipation,astrophysics,complexity,plasma physics"
"James A. Klimchuk","2015-5-28","10.1098/rsta.2014.0256","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0256","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0256?download=true","/doi/epdf/10.1098/rsta.2014.0256","The Royal Society Publishing","Key aspects of coronal heating","corona,coronal heating,magnetic fields","corona,coronal heating,magnetic fields,astrophysics,stars"
